tweet_id,tweet,tweet_clean,created_at,month,label_true,label_encoded
1.42238e+18,want to avoid covid checks &amp; vaccine mandates? ..identify as an illegal alien crossing our border.,want to avoid covid checks &amp; vaccine mandates? ..identify as an illegal alien crossing our border.,2021-08-03 02:31:02+00:00,21-Aug,neutral-or-unclear,2
1.43859e+18,"shock: senior doctors and a marketing director at in nc discussed inflating covid-19 numbers by counting recovered patients as active covid patients...""we need to be... more scary to the public... if you don't get vaccinated, you know you're going to die.""","shock: senior doctors and a marketing director at in nc discussed inflating covid-19 numbers by counting recovered patients as active covid patients...""we need to be... more scary to the public... if you don't get vaccinated, you know you're going to die.""",2021-09-16 19:33:30+00:00,21-Sep,against,0
1.43948e+18,bombshell info during todays fda vax meeting..dr rose states based on the vaers data... the risks far outweigh the benefits especially for children..over a 1000% increase in adverse events in 2021!..questions if the shots are driving the variants..clear failure of these products,bombshell info during todays fda vax meeting..dr rose states based on the vaers data... the risks far outweigh the benefits especially for children..over a 1000% increase in adverse events in 2021!..questions if the shots are driving the variants..clear failure of these products,2021-09-19 06:45:35+00:00,21-Sep,against,0
1.41822e+18,don't forget to vax up! you can receive a free vaccine at the uhc or any other usg campus and receive a free t-shirt and gift card!,don't forget to vax up! you can receive a free vaccine at the uhc or any other usg campus and receive a free t-shirt and gift card!,2021-07-22 14:57:10+00:00,21-Jul,in-favor,1
1.44112e+18,"israel, where over 80% of adults are fully vaccinated with pfizer, had virtually the exact same death count the second week of september this year as it did last year -- while still in lockdowns with no vaccines. data from the who.","israel, where over 80% of adults are fully vaccinated with pfizer, had virtually the exact same death count the second week of september this year as it did last year -- while still in lockdowns with no vaccines. data from the who.",2021-09-23 19:36:50+00:00,21-Sep,against,0
1.38647e+18,"almost 30% of americans are fully vaccinated. let’s not stop there, the faster y’all get vaccinated the faster we reach herd immunity— go get em, folks!","almost 30% of americans are fully vaccinated. let’s not stop there, the faster y’all get vaccinated the faster we reach herd immunity— go get em, folks!",2021-04-25 23:51:18+00:00,21-Apr,in-favor,1
1.34612e+18,'will help intensify fight': who welcomes india's covid-19 vaccine approval. via namo app,'will help intensify fight': who welcomes india's covid-19 vaccine approval. via namo app,2021-01-04 15:46:09+00:00,21-Jan,in-favor,1
1.44715e+18,"that's going to be the story of these terrible years: not the faceless, insidious public health threat that attacked us—but of the cruelty and selfishness of those we know and love and live with, who said no to compassion when it called...#getvaccinated ..","that's going to be the story of these terrible years: not the faceless, insidious public health threat that attacked us—but of the cruelty and selfishness of those we know and love and live with, who said no to compassion when it called...#getvaccinated ..",2021-10-10 10:44:05+00:00,21-Oct,in-favor,1
1.46657e+18,".ftw:.maga won’t get vaxxed, won’t get tested, won’t pay trump’s bills, expect biden to end covid, and hate potus for everything he’s done to pull us out of depression. 🤷🏻‍♀️",".ftw:.maga won’t get vaxxed, won’t get tested, won’t pay trump’s bills, expect biden to end covid, and hate potus for everything he’s done to pull us out of depression. 🤷🏻‍♀️",2021-12-03 00:38:52+00:00,21-Dec,in-favor,1
1.48018e+18,"in uk, .all rt pcr tests are free to public.rapid tests r free.all vaccines r free.all health care is free at source..vips and common people r treated in same hospitals, getting same treatment..pcr test rates are exorbitant for travel world over, scam?.don't sell a wrong story.","in uk, .all rt pcr tests are free to public.rapid tests r free.all vaccines r free.all health care is free at source..vips and common people r treated in same hospitals, getting same treatment..pcr test rates are exorbitant for travel world over, scam?.don't sell a wrong story.",2022-01-09 14:00:27+00:00,22-Jan,in-favor,1
1.43997e+18,"“i refuse to disclose my vaccination status” hmm wow, wonder which it is, what a huge mystery","“i refuse to disclose my vaccination status” hmm wow, wonder which it is, what a huge mystery",2021-09-20 14:52:09+00:00,21-Sep,in-favor,1
1.43649e+18,bruh killed skip bayless on this one 🤣🤣🤣🤣🤣🤣🤣..“dak prescott a top 5 qb?”..skip: “he has a shot &amp; i believe it”..shannon: “he got the vaccine?”..skip: “yeah he did get vaccinated”..shannon: “that’s the only shot he gonna get”,bruh killed skip bayless on this one 🤣🤣🤣🤣🤣🤣🤣..“dak prescott a top 5 qb?”..skip: “he has a shot &amp; i believe it”..shannon: “he got the vaccine?”..skip: “yeah he did get vaccinated”..shannon: “that’s the only shot he gonna get”,2021-09-11 00:32:26+00:00,21-Sep,in-favor,1
1.45536e+18,apparently pfizer is so powerful that it is telling countries what to do...primetime show in india exposes how pfizer bullies and blackmails countries for shots,apparently pfizer is so powerful that it is telling countries what to do...primetime show in india exposes how pfizer bullies and blackmails countries for shots,2021-11-02 02:34:58+00:00,21-Nov,against,0
1.41239e+18,"i'm actually quite furious about private schools getting pfizer. it's currently battling a sense of overall numbness about this disaster of a week, but there is some real fire burning in the depths there. #auspol","i'm actually quite furious about private schools getting pfizer. it's currently battling a sense of overall numbness about this disaster of a week, but there is some real fire burning in the depths there. #auspol",2021-07-06 12:28:46+00:00,21-Jul,neutral-or-unclear,2
1.40013e+18,"big news: anheuser-busch, the producer of budweiser has pledged to give away free beer to every vaccinated american if country reaches the goal of 70% vaccinated by july 4th","big news: anheuser-busch, the producer of budweiser has pledged to give away free beer to every vaccinated american if country reaches the goal of 70% vaccinated by july 4th",2021-06-02 16:35:55+00:00,21-Jun,in-favor,1
1.46752e+18,"""currently, mrna is considered a gene therapy product by the fda. unlike certain gene therapies that irreversibly alter cell dna and could act as a source of side effects, mrna-based medicines are designed to not irreversibly change cell dna..."", s. s. 70 .","""currently, mrna is considered a gene therapy product by the fda. unlike certain gene therapies that irreversibly alter cell dna and could act as a source of side effects, mrna-based medicines are designed to not irreversibly change cell dna..."", s. s. 70 .",2021-12-05 15:53:47+00:00,21-Dec,against,0
1.38651e+18,"get vaccinated, america.","get vaccinated, america.",2021-04-26 02:55:54+00:00,21-Apr,in-favor,1
1.42571e+18,"good morning calderdale. you can grab a jab in #halifax #elland #luddendenfoot or #todmorden today, thursday 12 august. ..first and second doses of #covid19 vaccine for people 18+..no appointment needed..find more walk-in clinics  ..#calderdalecares","good morning calderdale. you can grab a jab in #halifax #elland #luddendenfoot or #todmorden today, thursday 12 august. ..first and second doses of #covid19 vaccine for people 18+..no appointment needed..find more walk-in clinics  ..#calderdalecares",2021-08-12 06:45:06+00:00,21-Aug,in-favor,1
1.47731e+18,"""prime minister justin trudeau told a quebec television station, people who do not get vaccinated against covid-19 are often racist and misogynistic extremists..his comments prompted people’s party of canada leader maxime bernier to call trudeau a “fascist psychopath.”","""prime minister justin trudeau told a quebec television station, people who do not get vaccinated against covid-19 are often racist and misogynistic extremists..his comments prompted people’s party of canada leader maxime bernier to call trudeau a “fascist psychopath.”",2022-01-01 16:15:41+00:00,22-Jan,neutral-or-unclear,2
1.49006e+18,urgent: ventavia research group participated in the novavax covid-19 vaccine clinical trial. ..novavax has submitted their data to the fda for emergency use!!!! i’ve seen the data. it’s like pfizer &amp; moderna’s. shit.,urgent: ventavia research group participated in the novavax covid-19 vaccine clinical trial. ..novavax has submitted their data to the fda for emergency use!!!! i’ve seen the data. it’s like pfizer &amp; moderna’s. shit.,2022-02-05 20:41:51+00:00,22-Feb,against,0
1.41527e+18,"in case you didn’t know this:..vaccine bukan bermakna kita takkan dapat covid langsung. it means if (nauzubillah) you do get covid, you will only get mild symptoms - like your average flu. recover in 1,2 days. ..not needing oxygen, not ending up in the icu. reduces death.","in case you didn’t know this:..vaccine bukan bermakna kita takkan dapat covid langsung. it means if (nauzubillah) you do get covid, you will only get mild symptoms - like your average flu. recover in 1,2 days. ..not needing oxygen, not ending up in the icu. reduces death.",2021-07-14 11:22:11+00:00,21-Jul,in-favor,1
1.45112e+18,"covid patients in icu per million since 10th october..uk in yellow.france in red..france who have a fraction of our cases, france who have mask mandates, vaccine passports and restrictions...we are doing more than ok..source -","covid patients in icu per million since 10th october..uk in yellow.france in red..france who have a fraction of our cases, france who have mask mandates, vaccine passports and restrictions...we are doing more than ok..source -",2021-10-21 09:17:20+00:00,21-Oct,against,0
1.45301e+18,come through for a dose of protection from covid-19 at on 28th &amp; 29th october.  #patachanjoke,come through for a dose of protection from covid-19 at on 28th &amp; 29th october.  #patachanjoke,2021-10-26 14:43:58+00:00,21-Oct,in-favor,1
1.40451e+18,"covid-19 vaccination appointments available at cvs near springfield, pa. sign up at  2021/06/14 19:03:01","covid-19 vaccination appointments available at cvs near springfield, pa. sign up at  2021/06/14 19:03:01",2021-06-14 19:03:01+00:00,21-Jun,in-favor,1
1.36511e+18,"it is difficult to compare allocations received from one county to another. there are many reasons for this, which include supply, the number of people in each phase, age, occupation and the number of people who have accepted or declined the vaccine.  thanks for staying updated.","it is difficult to compare allocations received from one county to another. there are many reasons for this, which include supply, the number of people in each phase, age, occupation and the number of people who have accepted or declined the vaccine.  thanks for staying updated.",2021-02-26 01:42:08+00:00,21-Feb,neutral-or-unclear,2
1.47702e+18,i didn’t mention the vaccine. also you’re spreading misinformation because you’re more at risk of getting myocarditis from getting covid than from the vaccine. .also we must work together as a society to prevent hospitals from getting full and prevent deaths.,i didn’t mention the vaccine. also you’re spreading misinformation because you’re more at risk of getting myocarditis from getting covid than from the vaccine. .also we must work together as a society to prevent hospitals from getting full and prevent deaths.,2021-12-31 20:43:27+00:00,21-Dec,in-favor,1
1.44281e+18,army doctor's brave indictment of forcing vaccines on healthy soldiers..exclusive: joel s. hirschhorn spotlights lieutenant colonel's bold report that jeopardizes her career..via ⁦@worldnetdaily⁩,army doctor's brave indictment of forcing vaccines on healthy soldiers..exclusive: joel s. hirschhorn spotlights lieutenant colonel's bold report that jeopardizes her career..via ⁦@worldnetdaily⁩,2021-09-28 11:28:55+00:00,21-Sep,against,0
1.4171e+18,"when the polio vaccine dropped in 1955 people lined up to get it, &amp; we were 2 years away from artificial satellites. now in 2021 we carry external world-brains in our pockets &amp; there’s robots on mars and idiots think the covid vaccine is full of wizard poison.","when the polio vaccine dropped in 1955 people lined up to get it, &amp; we were 2 years away from artificial satellites. now in 2021 we carry external world-brains in our pockets &amp; there’s robots on mars and idiots think the covid vaccine is full of wizard poison.",2021-07-19 12:32:35+00:00,21-Jul,in-favor,1
1.36862e+18,2nd shots with the wrong vaccine now? so trudeau can have an election your body will be violated.,2nd shots with the wrong vaccine now? so trudeau can have an election your body will be violated.,2021-03-07 17:38:28+00:00,21-Mar,against,0
1.46544e+18,"federal court dismantles biden's vaccine mandate, noting biden administration cannot show any evidence it even reduces transmission at all. big, big ruling, with big impact for all vaccine mandate cases. read the whole ruling here:.","federal court dismantles biden's vaccine mandate, noting biden administration cannot show any evidence it even reduces transmission at all. big, big ruling, with big impact for all vaccine mandate cases. read the whole ruling here:.",2021-11-29 22:17:55+00:00,21-Nov,against,0
1.43427e+18,usual number of cases of myocarditis in 16 year old boys: 0-3..cases of myocarditis in 16 year old boys following pfizer jab: 120..death rate 5 years after myocarditis: 50%,usual number of cases of myocarditis in 16 year old boys: 0-3..cases of myocarditis in 16 year old boys following pfizer jab: 120..death rate 5 years after myocarditis: 50%,2021-09-04 21:57:05+00:00,21-Sep,against,0
1.434e+18,say no my daughter had the first dose of 3 and got sick from it she now has pcos i relate it to the hpv vax it's all bs all these uneeded shots they try pushing for this and that viles of toxins is all it is,say no my daughter had the first dose of 3 and got sick from it she now has pcos i relate it to the hpv vax it's all bs all these uneeded shots they try pushing for this and that viles of toxins is all it is,2021-09-04 03:35:02+00:00,21-Sep,against,0
1.48564e+18,my boys? this started as a vaccine mandate protest but has turned into a jt protest which is well deserved since he has done little for cdns. but keep supporting him. but i prefer to live in a free democracy with as little as possible government intervention.,my boys? this started as a vaccine mandate protest but has turned into a jt protest which is well deserved since he has done little for cdns. but keep supporting him. but i prefer to live in a free democracy with as little as possible government intervention.,2022-01-24 15:54:53+00:00,22-Jan,against,0
1.46586e+18,"gonna have to reschedule stream for tonight, but i'll do more of the nuzlocke tomorrow, with the additional challenge that i'll be a bit out of it from the covid booster i'm getting","gonna have to reschedule stream for tonight, but i'll do more of the nuzlocke tomorrow, with the additional challenge that i'll be a bit out of it from the covid booster i'm getting",2021-12-01 01:48:11+00:00,21-Dec,in-favor,1
1.39694e+18,"alabama  signs bill prohibiting so-called vaccine passports, following other states | just the news..","alabama  signs bill prohibiting so-called vaccine passports, following other states | just the news..",2021-05-24 21:21:26+00:00,21-May,against,0
1.33604e+18,"given there's 3wks between vaccines &amp; 10days after 2nd vaccine before immunity kicks in, using ucp values can a business case be made for sending vaccines to jurisdictions  not implementing serious restrictions to reduce infections? seems a waste of resources. #abpoli  #cdnpoli","given there's 3wks between vaccines &amp; 10days after 2nd vaccine before immunity kicks in, using ucp values can a business case be made for sending vaccines to jurisdictions  not implementing serious restrictions to reduce infections? seems a waste of resources. #abpoli  #cdnpoli",2020-12-07 20:21:10+00:00,20-Dec,in-favor,1
1.44983e+18,"let me see if i've got this right. in texas, you are free--because it's your own body--to refuse being vaccinated, even though you may infect others, but a woman is not free to decide whether or not to have an abortion, even if she's been raped.","let me see if i've got this right. in texas, you are free--because it's your own body--to refuse being vaccinated, even though you may infect others, but a woman is not free to decide whether or not to have an abortion, even if she's been raped.",2021-10-17 20:09:50+00:00,21-Oct,in-favor,1
1.44572e+18,"throughout the pandemic,  irish universities placed their people and resources at the services of the state. we are proud of the leadership of vaccination drive by our former president brian maccraith. here he discusses the rollout, ian mcewan, and his motto for life","throughout the pandemic,  irish universities placed their people and resources at the services of the state. we are proud of the leadership of vaccination drive by our former president brian maccraith. here he discusses the rollout, ian mcewan, and his motto for life",2021-10-06 12:15:00+00:00,21-Oct,in-favor,1
1.46971e+18,tens of thousands of austrians protested today in vienna to stop lockdowns and police-enforced vaccination.,tens of thousands of austrians protested today in vienna to stop lockdowns and police-enforced vaccination.,2021-12-11 17:04:35+00:00,21-Dec,against,0
1.4276e+18,scrolling through desantis’s feed is a trip. basically all the covid-related tweets are infomercials for monoclonal antibody infusion. neutral-or-unclear urge floridians to get vaccinated so they can avoid this much more expensive and less effective intervention.,scrolling through desantis’s feed is a trip. basically all the covid-related tweets are infomercials for monoclonal antibody infusion. neutral-or-unclear urge floridians to get vaccinated so they can avoid this much more expensive and less effective intervention.,2021-08-17 11:46:06+00:00,21-Aug,in-favor,1
1.36384e+18,nova scotia begins vaccinating members of the general public today. 500 people 80+ years-old were sent letters inviting them to book time slots. they’ll get their first shot today; their 2nd shot in a few weeks. then 10 more clinics like this opening next month.,nova scotia begins vaccinating members of the general public today. 500 people 80+ years-old were sent letters inviting them to book time slots. they’ll get their first shot today; their 2nd shot in a few weeks. then 10 more clinics like this opening next month.,2021-02-22 13:00:30+00:00,21-Feb,in-favor,1
1.42216e+18,get vaxxed!,get vaxxed!,2021-08-02 11:27:38+00:00,21-Aug,in-favor,1
1.44108e+18,"i feel terrible for the doctors and nurses, and anyone vaccinated but immunocompromised who might’ve been infected by them...otherwise 🥱","i feel terrible for the doctors and nurses, and anyone vaccinated but immunocompromised who might’ve been infected by them...otherwise 🥱",2021-09-23 16:56:46+00:00,21-Sep,in-favor,1
1.41126e+18,"prominent vaccine injury law firm says it can’t help people injured by covid vaccines because covid vaccines are not covered under the national vaccine injury compensation program, forcing many to raise funds for their injuries online...","prominent vaccine injury law firm says it can’t help people injured by covid vaccines because covid vaccines are not covered under the national vaccine injury compensation program, forcing many to raise funds for their injuries online...",2021-07-03 09:59:31+00:00,21-Jul,against,0
1.42227e+18,be cool. get vax'd - paul,be cool. get vax'd - paul,2021-08-02 18:36:41+00:00,21-Aug,in-favor,1
1.40156e+18,i can’t wait to be fully vaccinated so i don’t have to keep getting these fucking tests before events . they’re so annoying -_-,i can’t wait to be fully vaccinated so i don’t have to keep getting these fucking tests before events . they’re so annoying -_-,2021-06-06 15:23:58+00:00,21-Jun,in-favor,1
1.44754e+18,bs! herd immunity will only come if less people get the kill-my-immunity shots! wake up!,bs! herd immunity will only come if less people get the kill-my-immunity shots! wake up!,2021-10-11 12:49:00+00:00,21-Oct,against,0
1.49113e+18,"proud to announce #teamtoronto's new 10-day vaccination campaign: #vaxtheeast!..kicking off this weekend, this campaign will bring vaccines closer to home for thousands of residents in thorncliffe park, flemingdon park and across scarborough from february 12 to 21.","proud to announce #teamtoronto's new 10-day vaccination campaign: #vaxtheeast!..kicking off this weekend, this campaign will bring vaccines closer to home for thousands of residents in thorncliffe park, flemingdon park and across scarborough from february 12 to 21.",2022-02-08 19:11:56+00:00,22-Feb,in-favor,1
1.43841e+18,everyone who wanted a vaccine got one. time to go back to normal.,everyone who wanted a vaccine got one. time to go back to normal.,2021-09-16 07:49:27+00:00,21-Sep,neutral-or-unclear,2
1.37451e+18,getting my 2nd dose of the moderna this friday.,getting my 2nd dose of the moderna this friday.,2021-03-23 23:37:28+00:00,21-Mar,in-favor,1
1.48293e+18,i bet trump didn’t mention to his supporters last night at the arizona rally that he was fully vaxxed.,i bet trump didn’t mention to his supporters last night at the arizona rally that he was fully vaxxed.,2022-01-17 04:12:49+00:00,22-Jan,neutral-or-unclear,2
1.41135e+18,"as sydney plunged into a lockdown, this government’s focus was on themselves.. .while the nationals were rolling a deputy prime minister, mr morrison was failing to roll out a vaccine.. .i'm going to keep saying it, the liberals are #notonyourside","as sydney plunged into a lockdown, this government’s focus was on themselves.. .while the nationals were rolling a deputy prime minister, mr morrison was failing to roll out a vaccine.. .i'm going to keep saying it, the liberals are #notonyourside",2021-07-03 15:28:21+00:00,21-Jul,in-favor,1
1.36673e+18,"listen i am dressing up when its my turn to go take the vaccine and honestly once i am fully vaccinated  , i am hugging ppl .period","listen i am dressing up when its my turn to go take the vaccine and honestly once i am fully vaccinated  , i am hugging ppl .period",2021-03-02 12:45:31+00:00,21-Mar,in-favor,1
1.42985e+18,the difference between literally every other vaccine to date and the covid vaccine..... all the other vaccines actually stopped people from getting it and spreading it to others,the difference between literally every other vaccine to date and the covid vaccine..... all the other vaccines actually stopped people from getting it and spreading it to others,2021-08-23 17:04:18+00:00,21-Aug,against,0
1.43614e+18,biden has no choice people like you have make it so trump followers are idiots and don't want to be vaccinated---just ask trump he lied so much even his own crowd booed him,biden has no choice people like you have make it so trump followers are idiots and don't want to be vaccinated---just ask trump he lied so much even his own crowd booed him,2021-09-10 01:16:25+00:00,21-Sep,in-favor,1
1.47074e+18,two things you can do today:..1️⃣ book your booster online or find a walk-in site:  volunteer to support the nhs booster effort:  ..#getboostednow,two things you can do today:..1️⃣ book your booster online or find a walk-in site:  volunteer to support the nhs booster effort:  ..#getboostednow,2021-12-14 12:45:43+00:00,21-Dec,in-favor,1
1.35625e+18,the biden administration lost 20 million covid vaccines.....this entire administration is a joke..,the biden administration lost 20 million covid vaccines.....this entire administration is a joke..,2021-02-01 14:43:05+00:00,21-Feb,neutral-or-unclear,2
